date	title	category	url	post_text
2021-01-13 11:00:00+00:00	Our continuing support for Dreamers	Public Policy	https://blog.google/outreach-initiatives/public-policy/our-continuing-support-dreamers/	
2020-12-17 19:17:00+00:00	Redesigning Search would harm American consumers and businesses	Public Policy	https://blog.google/outreach-initiatives/public-policy/redesigning-search-would-harm-consumers-and-american-businesses/	
2020-12-17 09:00:00+00:00	A more private web can help businesses grow	Google in Europe	https://blog.google/around-the-globe/google-europe/more-private-web-can-help-businesses-grow/	
2020-11-16 08:00:00+00:00	The opportunity for “Digital Sprinters”	Public Policy	https://blog.google/outreach-initiatives/public-policy/the-opportunity-for-digital-sprinters/	
2020-10-28 14:35:00+00:00	Sundar Pichai’s testimony before the Senate Commerce Committee	Public Policy	https://blog.google/outreach-initiatives/public-policy/sundar-pichai-testimony-senate-commerce-committee/	
2020-10-28 14:00:00+00:00	The Digital Services Act must not harm Europe’s economic recovery	Google in Europe	https://blog.google/around-the-globe/google-europe/the-digital-services-act-must-not-harm-europes-economic-recovery/	
2020-10-22 01:00:00+00:00	A united front against online piracy in Asia Pacific	Google in Asia	https://blog.google/around-the-globe/google-asia/united-front-against-online-piracy-asia-pacific/	
2020-10-21 01:00:00+00:00	Partnership, policy and trade in Asia’s economic recovery	Google in Asia	https://blog.google/around-the-globe/google-asia/partnership-policy-trade-recovery/	
2020-10-20 15:29:00+00:00	A deeply flawed lawsuit that would do nothing to help consumers	Public Policy	https://blog.google/outreach-initiatives/public-policy/response-doj/	
2020-10-13 11:00:00+00:00	Serving Veterans with a new resource hub	Public Policy	https://blog.google/outreach-initiatives/public-policy/serving-veterans-new-resource-hub/	
2020-10-06 23:55:00+00:00	Statement on the Democratic and Republican House Antitrust Subcommittee reports	Public Policy	https://blog.google/outreach-initiatives/public-policy/statement-democratic-and-republican-house-antitrust-subcommittee-reports/	
2020-09-03 15:30:00+00:00	A more responsible, innovative and helpful internet in Europe	Google in Europe	https://blog.google/around-the-globe/google-europe/more-responsible-innovative-and-helpful-internet-europe/	
2020-09-02 13:00:00+00:00	Partnering with NSF on human-AI collaboration	AI	https://blog.google/technology/ai/partnering-nsf-human-ai-collaboration/	
2020-08-07 18:00:00+00:00	In support of interoperability	Public Policy	https://blog.google/outreach-initiatives/public-policy/support-interoperability/	
2020-07-29 17:52:00+00:00	Sundar Pichai’s testimony to the U.S. House Judiciary Subcommittee on Antitrust	Public Policy	https://blog.google/outreach-initiatives/public-policy/sundar-pichais-testimony-to-the-us-house-judiciary-subcommittee-on-antitrust/	
2020-04-23 16:00:00+00:00	Respecting rights: Global Network Initiative assessment report	Public Policy	https://blog.google/outreach-initiatives/public-policy/respecting-rights-global-network-initiative-assessment-report/	
2020-02-26 14:00:00+00:00	Continuing to grow and invest across America in 2020	Company announcements	https://blog.google/inside-google/company-announcements/continuing-grow-invest-across-america-2020/	
2020-02-03 11:00:00+00:00	Supporting the 2020 U.S. election	Safety & Security	https://blog.google/technology/safety-security/supporting-2020-us-election/	
2020-01-06 22:35:00+00:00	The case for open innovation	Public Policy	https://blog.google/outreach-initiatives/public-policy/case-for-open-innovation/	
2019-12-11 20:00:00+00:00	How Google and YouTube are working to protect the 2020 U.S. Census	Safety & Security	https://blog.google/technology/safety-security/how-google-and-youtube-are-working-protect-2020-us-census/	
2019-11-20 23:00:00+00:00	An update on our political ads policy	Ads	https://blog.google/technology/ads/update-our-political-ads-policy/	
2019-10-25 17:00:00+00:00	Bringing Wi-Fi to the residents of Celilo Village	Public Policy	https://blog.google/outreach-initiatives/public-policy/celilo-village-wi-fi-chromebooks/	
2019-10-02 19:00:00+00:00	The historic partnership of democracy and technology	Public Policy	https://blog.google/outreach-initiatives/public-policy/historic-partnership-democracy-and-technology/	
2019-09-12 10:00:00+00:00	The courage to change: sharing resources for recovery	Company announcements	https://blog.google/inside-google/company-announcements/recover-together/	
2019-09-06 21:06:00+00:00	Google’s services create choice for consumers, and spur innovation in the U.S.	Public Policy	https://blog.google/outreach-initiatives/public-policy/consumer-choice-competition-innovation/	
2019-08-22 23:00:00+00:00	Maintaining the integrity of our platforms	Public Policy	https://blog.google/outreach-initiatives/public-policy/maintaining-integrity-our-platforms/	
2019-06-27 19:00:00+00:00	It’s time for a new international tax deal	Public Policy	https://blog.google/outreach-initiatives/public-policy/its-time-new-international-tax-deal/	
2019-06-19 20:00:00+00:00	Oversight frameworks for content-sharing platforms	Public Policy	https://blog.google/outreach-initiatives/public-policy/oversight-frameworks-content-sharing-platforms/	
2019-04-18 12:00:00+00:00	Presenting search app and browser options to Android users in Europe	Google in Europe	https://blog.google/around-the-globe/google-europe/presenting-search-app-and-browser-options-android-users-europe/	
2019-04-11 20:00:00+00:00	USMCA: A trade framework for the digital age	Public Policy	https://blog.google/outreach-initiatives/public-policy/usmca-trade-framework-digital-age/	
2019-03-19 23:00:00+00:00	Supporting choice and competition in Europe	Android	https://blog.google/around-the-globe/google-europe/supporting-choice-and-competition-europe/	
2019-03-05 17:00:00+00:00	Doing our part to share open data responsibly	AI	https://blog.google/technology/ai/sharing-open-data/	
2019-02-21 17:00:00+00:00	To help fight the opioid crisis, a new tool from Maps and Search	Public Policy	https://blog.google/outreach-initiatives/public-policy/opioid-crisis-maps-search/	
2019-02-14 18:00:00+00:00	Smart regulation for combating illegal content	Public Policy	https://blog.google/outreach-initiatives/public-policy/principles-evolving-technology-policy-2019/smart-regulation-combating-illegal-content/	
2019-02-13 18:00:00+00:00	Investing across the U.S. in 2019	Company announcements	https://blog.google/inside-google/company-announcements/investing-13-billion-2019/	
