,date,title,topic,author,path,categories,children,gender_violence,hate_speech,health_disinfo,political_disinfo,safety
39,"Thursday, 21 July 2022",IDEA Q2 2022: #UntilWeAllBelong Toolkit,Company,James Loduca (he/him),https://blog.twitter.com/en_us/topics/company/2022/inclusion-diversity-equity-accessibility-report-our-global-approach-April-20221,"['hate_speech', 'health_disinfo', 'political_disinfo']",0,0,1,0,0,0
39,"Thursday, 21 July 2022",IDEA Q2 2022: #UntilWeAllBelong Toolkit,Company,James Loduca (he/him),https://blog.twitter.com/en_us/topics/company/2022/inclusion-diversity-equity-accessibility-report-our-global-approach-April-20221,"['hate_speech', 'health_disinfo', 'political_disinfo']",0,0,0,1,0,0
39,"Thursday, 21 July 2022",IDEA Q2 2022: #UntilWeAllBelong Toolkit,Company,James Loduca (he/him),https://blog.twitter.com/en_us/topics/company/2022/inclusion-diversity-equity-accessibility-report-our-global-approach-April-20221,"['hate_speech', 'health_disinfo', 'political_disinfo']",0,0,0,0,1,0
40,"Tuesday, 12 July 2022",Twitter Gaming reports record conversation volume for first half of 2022,Insights,Rishi Chadha,https://blog.twitter.com/en_us/topics/insights/2022/twitter-gaming-reports-record-conversation-volume-for-first-half-of-2022,[],0,0,0,0,0,0
41,"Wednesday, 8 June 2022",Be part of the hype: Introducing Product Drops,Product,Justin Hoang,https://blog.twitter.com/en_us/topics/product/2022/be-part-of-the-hype--introducing-product-drops,[],0,0,0,0,0,0
42,"Wednesday, 25 May 2022",FTC settlement: Our commitment to protecting your privacy and security,Company,Damien Kieran ,https://blog.twitter.com/en_us/topics/company/2022/ftc-settlement-twitter,['safety'],0,0,0,0,0,1
43,"Friday, 20 May 2022",Celebrating Twitter for Good,Company,,https://blog.twitter.com/en_us/topics/company/2022/celebrating-twitter-for-good,"['health_disinfo', 'safety']",0,0,0,1,0,0
43,"Friday, 20 May 2022",Celebrating Twitter for Good,Company,,https://blog.twitter.com/en_us/topics/company/2022/celebrating-twitter-for-good,"['health_disinfo', 'safety']",0,0,0,0,0,1
44,"Thursday, 19 May 2022",Introducing our crisis misinformation policy,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2022/introducing-our-crisis-misinformation-policy,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
44,"Thursday, 19 May 2022",Introducing our crisis misinformation policy,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2022/introducing-our-crisis-misinformation-policy,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
44,"Thursday, 19 May 2022",Introducing our crisis misinformation policy,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2022/introducing-our-crisis-misinformation-policy,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
45,"Friday, 22 April 2022",Accelerating our climate commitments on Earth Day,Company,Seán Boyle,https://blog.twitter.com/en_us/topics/company/2022/accelerating-our-climate-commitments-on-earth-day,['political_disinfo'],0,0,0,0,1,0
46,"Tuesday, 19 April 2022","Inclusion, Diversity, Equity, Accessibility Q1 2022: Our Global Approach",Company,James Loduca (he/him),https://blog.twitter.com/en_us/topics/company/2022/inclusion-diversity-equity-accessibility-report-our-global-approach-April-2022,[],0,0,0,0,0,0
47,"Wednesday, 16 March 2022",Our ongoing approach to the war in Ukraine,Company,Sinéad McSweeney,https://blog.twitter.com/en_us/topics/company/2022/our-ongoing-approach-to-the-war-in-ukraine,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0,0
47,"Wednesday, 16 March 2022",Our ongoing approach to the war in Ukraine,Company,Sinéad McSweeney,https://blog.twitter.com/en_us/topics/company/2022/our-ongoing-approach-to-the-war-in-ukraine,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
47,"Wednesday, 16 March 2022",Our ongoing approach to the war in Ukraine,Company,Sinéad McSweeney,https://blog.twitter.com/en_us/topics/company/2022/our-ongoing-approach-to-the-war-in-ukraine,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
47,"Wednesday, 16 March 2022",Our ongoing approach to the war in Ukraine,Company,Sinéad McSweeney,https://blog.twitter.com/en_us/topics/company/2022/our-ongoing-approach-to-the-war-in-ukraine,"['hate_speech', 'health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
48,"Wednesday, 9 March 2022",Twitter Shops: More space to shop,Product,Justin Hoang,https://blog.twitter.com/en_us/topics/product/2022/twitter-shops-more-space-to-shop,[],0,0,0,0,0,0
49,"Thursday, 3 March 2022",Building a better Birdwatch ,Company,Keith Coleman,https://blog.twitter.com/en_us/topics/company/2022/building-a-better-birdwatch,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
49,"Thursday, 3 March 2022",Building a better Birdwatch ,Company,Keith Coleman,https://blog.twitter.com/en_us/topics/company/2022/building-a-better-birdwatch,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
49,"Thursday, 3 March 2022",Building a better Birdwatch ,Company,Keith Coleman,https://blog.twitter.com/en_us/topics/company/2022/building-a-better-birdwatch,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
50,"Thursday, 27 January 2022",#KpopTwitter reaches new heights with 7.8 billion global Tweets,Insights,YeonJeong Kim,https://blog.twitter.com/en_us/topics/insights/2022/-kpoptwitter-reaches-new-heights-with-7-8-billion-global-tweets,[],0,0,0,0,0,0
51,"Tuesday, 25 January 2022",An update to the Twitter Transparency Center,Company,X,https://blog.twitter.com/en_us/topics/company/2021/transparency-19,['safety'],0,0,0,0,0,1
52,"Monday, 10 January 2022",A banner year for gaming on Twitter in 2021,Insights,Rishi Chadha,https://blog.twitter.com/en_us/topics/insights/2021/a-banner-year-for-gaming-on-twitter-in-2021--,[],0,0,0,0,0,0
53,"Saturday, 1 January 2022",Twitter's report in compliance with Regulation (EU) 2021/1232,Company,,https://blog.twitter.com/en_us/topics/company/2022/twitter-s-eu-submission-for-2021-1232,"['children', 'safety']",1,0,0,0,0,0
53,"Saturday, 1 January 2022",Twitter's report in compliance with Regulation (EU) 2021/1232,Company,,https://blog.twitter.com/en_us/topics/company/2022/twitter-s-eu-submission-for-2021-1232,"['children', 'safety']",0,0,0,0,0,1
54,"Friday, 17 December 2021",Our continued collaboration with trusted partners    ,Company,X Safety,https://blog.twitter.com/en_us/topics/company/2021/our-continued-collaboration-with-trusted-partners,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
54,"Friday, 17 December 2021",Our continued collaboration with trusted partners    ,Company,X Safety,https://blog.twitter.com/en_us/topics/company/2021/our-continued-collaboration-with-trusted-partners,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
54,"Friday, 17 December 2021",Our continued collaboration with trusted partners    ,Company,X Safety,https://blog.twitter.com/en_us/topics/company/2021/our-continued-collaboration-with-trusted-partners,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
55,"Tuesday, 14 December 2021",The state of social intelligence: 2021 year in review,Insights,Joe Rice,https://blog.twitter.com/en_us/topics/insights/2021/the-state-of-social-intelligence-2021-year-in-review,[],0,0,0,0,0,0
56,"Thursday, 9 December 2021",Our Holiday Wish List for the Digital Services Act,Company,Twitter Public Policy,https://blog.twitter.com/en_us/topics/company/2021/ourholidaywishlistforthedigitalservicesact,[],0,0,0,0,0,0
57,"Thursday, 9 December 2021",2021 #OnlyOnTwitter,Insights,Twitter Data,https://blog.twitter.com/en_us/topics/insights/2021/2021--onlyontwitter,"['hate_speech', 'children']",0,0,1,0,0,0
57,"Thursday, 9 December 2021",2021 #OnlyOnTwitter,Insights,Twitter Data,https://blog.twitter.com/en_us/topics/insights/2021/2021--onlyontwitter,"['hate_speech', 'children']",1,0,0,0,0,0
58,"Monday, 6 December 2021","Season 2 of I Wish I Knew, a @TwitterResearch Podcast",Company,,https://blog.twitter.com/en_us/topics/company/2021/season-2-i-wish-know,['safety'],0,0,0,0,0,1
59,"Thursday, 2 December 2021", Expanding access beyond information operations ,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2021/-expanding-access-beyond-information-operations-,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
59,"Thursday, 2 December 2021", Expanding access beyond information operations ,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2021/-expanding-access-beyond-information-operations-,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
